Number Of Reviews',Reviewer Name,Location,Review Date,Review Title,Review Text,Date Of Experience,Star Rating,Response Date,Response Text,Bakery Name,Overall Rating
3 reviews,Elizabeth Harpum,GB,13-Jan-23,Really great pies from MadK as always-…,Really great pies from MadK as always- they are our favourite gluten free pies and are always enjoyed by those who don’t usually eat gluten free!,Date of experience: 12 January 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,Andrew Cowton,GB,26-Oct-22,Some pies broken on delivery,"Some pies broken on delivery. Defrosted some overnight in the fridge, to find they're falling apart. Had to serve in ramekins. Taste is really good, just frustrated with the delicate nature of the pastry.",Date of experience: 26 October 2022,Rated 4 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
2 reviews,A Price,GB,11-Dec-22,Best GF Pie ever!,"I bought these for my husband who’s gluten intolerant. He’s had the steak and ale pie so far and proclaimed it to be the best gf pie ever! A huge pie, with crisp pastry and filled to the brim. I have to admit, it looked absolutely delicious!",Date of experience: 09 December 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
7 reviews,L Holden,GB,27-Dec-20,Really delicious,Really delicious! I love the ginger cake! So nice to have gluten free food that tastes and looks appealing. Delivery was really quick and packed really well. I could honestly serve all of the food to non coeliacs and they wouldn't be able to tell the difference.,Date of experience: 27 December 2020,Rated 5 out of 5 stars,14-Feb-21,Thank you so much- that is just what we are aiming for....unbelievably gluten free!,mumanddadskitchen.co.uk,4.9
11 reviews,Kim Green,GB,25-Jun-20,Pies are delicious,"Pies are delicious, I also buy their shortcrust pastry which is the best as far as I am concerned, wouldn’t even try again to make my own! I have not tried any other products but if what I have had is anything to go by they will be great. Customer service brilliant. As said above my husband is not a coeliac like me but says these are the best pies he has ever had! What more could I ask for.
Customer service is high on their agenda, nothing too much trouble. Thank you Mum and Dads kitchen you are great.",Date of experience: 25 June 2020,Rated 5 out of 5 stars,25-Jun-20,That's so amazing to hear!  Our strapline is 'Unbelievably Gluten Free'  because of reviews like yours.  Thank you so much for the wonderful feedback!,mumanddadskitchen.co.uk,4.9
6 reviews,Andy,GB,12-Nov-21,Pastry is dry,"The size, structure and fillings are great but the pastry is dry and without gravy or custard, they have been difficult to eat. I presume this is due to being gluten free?",Date of experience: 12 November 2021,Rated 4 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,Ms Farmer,GB,29-Jun-20,Yum! Yum!,My faves are chicken & chorizo and chicken ham & leek but all good to be honest. I’m not normally a pastry fan but this pastry is lovely and crispy and just yum. Husband is a coffee and walnut fiend and reckons the Mad K one is the best he’s ever had! Brownies v good too!,Date of experience: 29 June 2020,Rated 5 out of 5 stars,06-Jul-20,Thank you for the review! We are so happy you love our products!,mumanddadskitchen.co.uk,4.9
6 reviews,ali Edwards,GB,27-Mar-21,The best pies,"The best pies! Particularly love the lamb and mint and of course the award winning egg and  chorizo. Also, a family favourite is the chocolate brownies- divine!",Date of experience: 27 March 2021,Rated 5 out of 5 stars,11-Apr-21,Thank you Ali!,mumanddadskitchen.co.uk,4.9
7 reviews,Marilyn Mitchell,GB,04-Jun-24,best pies ever…,"I had never heard of this company until i was checking out my face book page as id not yet found a decent meat or fruit pie i decided to give them a try, i am glad i did because they are great filled with meat or fruit, i have just recieved my second order and will definatley be ordering again",Date of experience: 28 May 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,Christine,GB,17-Dec-23,Lovely pies/quiches and great customer service,Ordered quite a few pies and quiches. They rang me to say they would dispatch the following Monday so the pies would get there Tuesday as that was when the delivery company was most trustworthy. Pies arrived and they had given me a free one. Thank you. The two pies I have eaten so far have been great. This is the second time I have ordered from this company and will definitely order again. The pies and quiches are so nice!,Date of experience: 04 December 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,GaryCunnington,GB,17-Mar-24,Great service easy to order online,Great service easy to order online Great pies especially as gluten free Celiacs should try,Date of experience: 10 March 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
20 reviews,Jenny H,GB,15-Aug-22,Amazing,"Amazing, we tried the savoury and fruit pies plus some of the cakes. All are absolutely delicious and better than most non gluten free. I’m hooked, Yum!",Date of experience: 14 August 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,Natasha,GB,02-May-21,WOW and Delicious,WOW! I have bought many gluten free pies since having an intolerance two years ago and nothing comes close to the minced steak and onion pie I ordered from MAD K. The pie was full to the brim and the pastry is the best I ever tasted. My husband couldn’t even tell the difference! If I could give more than 5 stars I would.,Date of experience: 02 May 2021,Rated 5 out of 5 stars,10-Oct-21,Thank you so much - music to our ears!,mumanddadskitchen.co.uk,4.9
2 reviews,Nicola Lane,GB,19-Sep-20,Delicious Pies and Puddings,Simply the best gluten-free pastry I have ever come across! The pies are always delicious. They also make a cracking Christmas Pudding in the season!,Date of experience: 19 September 2020,Rated 5 out of 5 stars,19-Sep-20,Thank you for the review!! We like hearing it’s not just us that love our pastry and pies! ??,mumanddadskitchen.co.uk,4.9
23 reviews,tracy oulton,GB,26-Dec-23,"Excellent service ,very quick delivery…","Excellent service ,very quick delivery and I'm in Pie heaven the pastry was delicious but not crumbley like other gluten free pastry ,they have so much filling it's like a meal in its self",Date of experience: 19 December 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
5 reviews,Sandra Callard,GB,20-Nov-20,The pies arrived well packaged and the…,The pies arrived well packaged and the ones we have tried so far are delicious. They were also very helpful with dietary requirements.,Date of experience: 20 November 2020,Rated 5 out of 5 stars,20-Nov-20,Thank you for the review! We aim to please ?? ??,mumanddadskitchen.co.uk,4.9
17 reviews,carol marlow,GB,16-Dec-22,Quick delivery,"Quick delivery, especially as it’s so close to Christmas. My purchases will we lovely, I’ve had all but the turkey and cranberry. I’m housebound so it’s lovely to be able to order your food. Thank you all x",Date of experience: 15 December 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
20 reviews,Craig,GB,30-Dec-22,Wow the Gulten Free food is amazing the…,Wow the Gulten Free food is amazing the mince pie was the best I have ever had. Could not fault any of the cakes we brought. The chicken pie is so tasty definitely going to be ordering more.,Date of experience: 30 December 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
2 reviews,Mr Ken  Spencer,GB,03-Apr-23,First time using this firm but will…,"First time using this firm but will defiantly be buying more from them, all food delicious so far.",Date of experience: 26 March 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
1 review,Robert Hulin,GB,03-Oct-20,We love mum and dads kitchen pies very…,We love mum and dads kitchen pies very tasty and unique also they always have gluten free as a choice to I would always recommend them.,Date of experience: 03 October 2020,Rated 5 out of 5 stars,03-Oct-20,Thank you for you lovely review! It’s thanks to our loyal customers that have helped us to keep producing in these uncertain  times. ??????,mumanddadskitchen.co.uk,4.9
3 reviews,John A,GB,Updated 24 Nov 2021,First timer.,"First timer.
Tried these products for the first time as I am a diagnosed Coeliac and enjoyed them very much. Sausage rolls, Quiche and S&K pie
Would suggest a steak and kidney pudding would be a great addition to the range",Date of experience: 24 November 2021,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
22 reviews,Hugh Stirling,GB,28-Mar-24,Delicious Quiches,"Delicious Quiches, highly reccomended.  Haven't tried the pies yet, but expect them to be good.",Date of experience: 21 March 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
9 reviews,Nicola Hayes,GB,19-Aug-22,Had a mixed box of cakes,"Had a mixed box of cakes, a selection of pies and pastry, I haven’t had chance to try everything yet but so far I have really enjoyed the ginger cake, indulgent chocolate cakes and the chicken curry pie was fab for tea ?? thank you will definitely order again x",Date of experience: 18 August 2022,Rated 4 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
15 reviews,Natasha Winning,GB,25-Mar-23,Have tried a few pies via the too good…,"Have tried a few pies via the too good to go app, but wanted to try the other pies and sausages rolls.
Had a sausage roll for tea and was not disappointed, was so nice like the pies.
I have tried a few pies etc but the pastry just isn't right, but these pies etc are spot on with the pastry, nice and flaky pastry.
Give them a go even more so if you coeliac
Great friendly staff.",Date of experience: 18 March 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,Claire Dennett,GB,16-Apr-24,Gorgeous chicken and leek pie and…,Gorgeous chicken and leek pie and sausage rolls. The best gluten-free pastry I’ve ever tasted.,Date of experience: 09 April 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
1 review,Chrystal Bracher,GB,04-Apr-23,Exceeded all expectations,Exceeded all expectations! I will definitely be buying again and it is miles better than any other pie you can find in the supermarket.,Date of experience: 27 March 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
39 reviews,Jackie Suter,GB,21-Aug-23,Pies and quiches are full to the brim…,"Pies and quiches are full to the brim and lovely flavours to chose from, definitely be ordering again real soon.",Date of experience: 13 August 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
8 reviews,Melanie Askew,GB,20-Apr-21,Re-order of gluten free pastry,"I re-ordered more gluten free pastry. It arrived quickly, beautifully packed and as usual it has made the most beautiful pies. It is easy to handle. A winner all round!",Date of experience: 20 April 2021,Rated 5 out of 5 stars,10-Oct-21,Thank you so much!,mumanddadskitchen.co.uk,4.9
25 reviews,J Poole,GB,10-Oct-21,Great tasting pies,Great tasting pies. All arrived well packaged and the communications from mumanddadskitchen.co.uk was top notch.  Recommend both the pies and the company.,Date of experience: 10 October 2021,Rated 5 out of 5 stars,10-Oct-21,Thank you so much!,mumanddadskitchen.co.uk,4.9
6 reviews,Deb,GB,Updated 26 Jun 2020,I’m so glad I found this company,I’m so glad I found this company. Finding really tasty gluten free food is hard. I for this company on social media and I was so glad I did. The product they sell are amazing worth every penny. Really fast delivery. I’ve just got my 3rd order from them. Give them a try you won’t be disappointed. Thank you m&d for your products,Date of experience: 26 June 2020,Rated 5 out of 5 stars,27-Jun-20,Oh wow! glad our social media works! Thank you for the lovely review and look forward to our client's feedback!,mumanddadskitchen.co.uk,4.9
1 review,Sarah Beech,GB,08-Mar-24,Fabulous service as always,Fabulous service as always. It’s so lovely to have a decent gluten free pie that even the muggles will eat,Date of experience: 29 February 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,Steve Hallam,GB,21-Mar-21,Brilliant service and some of the best…,Brilliant service and some of the best pies I've tried and I've tried a lot of pies. I would not hesitate to recommend. The pulled pork pie was absolutely mind blowing.,Date of experience: 21 March 2021,Rated 5 out of 5 stars,27-Mar-21,Thank you! Many thanks for your review on you tube- all reviews are welcome but particularly when they are so positive so thank you very much!,mumanddadskitchen.co.uk,4.9
6 reviews,Mrs Jones,GB,30-Jan-24,Great pies unbelievable that they are…,"Great pies unbelievable that they are gluten free, well packaged and delivered very quickly",Date of experience: 22 January 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
8 reviews,MRS S Lord,GB,03-Mar-22,Great taste sausage rolls pastry lovely…,Great taste sausage rolls pastry lovely chicken ham an leek pie delicious an very full of meat,Date of experience: 03 March 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
2 reviews,Justin Byng,GB,31-Oct-22,The best pies and sweet treats I've…,The best pies and sweet treats I've tasted. Packed full of high quality ingredients highly recommended.,Date of experience: 27 October 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,audrey derry,GB,01-Jan-24,Amazing products,"Amazing products, and really great service, particularly liked the little hand written note of thanks for ordering",Date of experience: 10 December 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
5 reviews,Dave,GB,03-Sep-20,Great Pies!,"Great pies, really tasty and being transported to various gluten/dairy free friends as they’re the best. From someone who likes real pastry!",Date of experience: 03 September 2020,Rated 5 out of 5 stars,03-Sep-20,Love it! 'Real pastry' - haha - We have had many ask us if we offer 'full gluten' products or as you call it 'real pastry' and we have converted many! Thank you for the feedback we aim to please!,mumanddadskitchen.co.uk,4.9
1 review,Dan Povey,GB,01-Nov-20,I think these pies are terrific,I think these pies are terrific. I buy them for Dad as Covid package as well. There’s a great range of flavours and the deep full size has tonnes of tasty pastry. Recommend these any day.,Date of experience: 01 November 2020,Rated 5 out of 5 stars,01-Nov-20,Thank you for the lovely review and for your continued support by ordering our products! It helps us keep on working on these uncertain times.,mumanddadskitchen.co.uk,4.9
5 reviews,Adrian H,GB,25-Mar-23,Fantastic pies,"Fantastic pies, at a good price and quick delivery. The Pie Award discount was an added bonus.",Date of experience: 15 March 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
5 reviews,Cherry Cray,GB,08-Nov-23,"Very tasty, gluten-free pies",Goods arrived well packaged. Great tasting pastry and filling. Hard to believe the pastry is gluten-free.,Date of experience: 30 October 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
8 reviews,Caroline Sumners,GB,27-Jun-20,Delicious pies & cakes,"Delicious pies, amazing pastry. Will never buy any other brand again. Cakes are also amazing.",Date of experience: 27 June 2020,Rated 5 out of 5 stars,27-Jun-20,We aim to please :) Offering a variety is what we are all about and we are so pleased you are anjoying all we have to offer! Thank you for your review...,mumanddadskitchen.co.uk,4.9
22 reviews,SteveRidd,GB,17-Sep-21,Amazing pies…,"I tried one of your Lamb and mint pies as part of a Sunday lunch at the Humble Plumb Pub in Southampton this week. It was the best pie I have had in a very long time. The pastry was amazing, so buttery in taste. The filling didn't disappoint either.
Amazing..",Date of experience: 17 September 2021,Rated 5 out of 5 stars,10-Oct-21,Thanks Steve! So glad that you enjoyed the pie! We are super proud ro be supplying The Humble Plumb!,mumanddadskitchen.co.uk,4.9
14 reviews,richard,GB,25-Apr-23,My order was on time and exactly what I…,My order was on time and exactly what I wanted. Food is excellent and nicely priced. I would recommend product to anyone,Date of experience: 17 April 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
17 reviews,Mrs Clare Ody,GB,04-Sep-20,Fabulous pies from MAD K,"Fabulous pies from MAD KLots of different fillings,  gluten free and well filled -  will be buying more!",Date of experience: 04 September 2020,Rated 5 out of 5 stars,04-Sep-20,"Thank you for your lovely review! We have stepped things up with our deep filled pies! ?? After all, a good pie is all about the generous filling we say!",mumanddadskitchen.co.uk,4.9
19 reviews,Veronika Cooper,GB,23-Apr-21,Highly recommended,Excellent quality. Great range of gluten free goodies. Fast delivery. What’s not to like!,Date of experience: 23 April 2021,Rated 5 out of 5 stars,10-Oct-21,Thank you!,mumanddadskitchen.co.uk,4.9
5 reviews,Lisa Burnett,GB,06-Feb-24,Amazing delicious pies as always,Amazing delicious pies as always. So great that they are all gluten free and free range. Thank you ??,Date of experience: 29 January 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
2 reviews,Andrew Elder,GB,10-Oct-20,Great pies,"Great pies, wide range and excellent service. Can totally recommend this top class company.",Date of experience: 10 October 2020,Rated 5 out of 5 stars,10-Oct-20,Thank you so much for the lovely feedback!   It inspires us to do better and carry on in these uncertain times. ?? ??,mumanddadskitchen.co.uk,4.9
12 reviews,Diana Newman,GB,19-Jun-23,Really good tasting pies and sausage…,Really good tasting pies and sausage rolls - gluten free and well packaged for delivery.,Date of experience: 11 June 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
5 reviews,Jackie,GB,29-Oct-21,Fantastic service,"Fantastic service,  nothing too much trouble,  any problems are quickly solved.  Pies are fab too.",Date of experience: 29 October 2021,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,KD,GB,12-Jan-24,Delighted All items ordered arrived in perfect…,"All items ordered arrived in perfect condition. Swift delivery and delicious products.

Great local business!",Date of experience: 05 January 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
8 reviews,Tracy,GB,04-Jan-24,Fantastic company,"Delivery was when expected, came really well packed and all taste really delicious, definitely will order again ??",Date of experience: 14 December 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
4 reviews,Debbie Hughes,GB,07-Mar-22,The nicest GF pies and sausages rolls…,The nicest GF pies and sausages rolls around. You cannot tell they are GF. The pastry is the best! I have recently tried their new pork pies ( pork and pork and apple). They are absolutely delicious!,Date of experience: 07 March 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
2 reviews,Jean,GB,11-Apr-21,Delicious,"What a discovery - delicious pies to suit all the family.
We have tasted quite a few and all have been enjoyed. Lots of filling which means we share",Date of experience: 11 April 2021,Rated 5 out of 5 stars,11-Apr-21,Thank you Jean- good to hear!,mumanddadskitchen.co.uk,4.9
8 reviews,Angela,GB,29-Jan-24,First time ordering so far so good…,"First time ordering so far so good tried the mince beef & onion pie delicious, I’m sure the rest of the savoury pies will be as good, unfortunately I did not like the apple pie was expecting it to be sweeter but I have the cherry one in the freezer to try next, will be ordering again once I’ve made my way through this order!",Date of experience: 27 January 2024,Rated 4 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
6 reviews,MRS BARBARA CARR,GB,22-May-23,The quiches you make are delicious and…,The quiches you make are delicious and filling which is unusual fo gluten free food.Thank you,Date of experience: 14 May 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,Claire Harrison,GB,24-Mar-23,Amazing,"Wow! Amazing pie! I'm a coeliac it is the first time i've eaten a proper pie for a while.  Great, friendly customer service too.",Date of experience: 16 March 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
4 reviews,Pamela Wilkins,GB,13-Mar-21,Lovely pastry and fillings,"Lovely pastry and fillings, no soggy bottoms! My favourite is the goats cheese, spinach and sweet pototo.",Date of experience: 13 March 2021,Rated 5 out of 5 stars,27-Mar-21,Many thanks! We pride ourselves on having a no soggy bottom policy!,mumanddadskitchen.co.uk,4.9
19 reviews,George Ridgway Attleborough Heritage Group.,GB,26-Apr-24,Nice to deal with,"Pleasant, personal style helped but the product is the real star",Date of experience: 04 April 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
3 reviews,Chris Watts,GB,17-Jan-21,Highly recommend this company,"First time ordering they was always in contact and letting you know about your order very flavourful and definitely be ordering again we ordered chicken curry, beef and onion, and chicken ham and leek and they was lovely lots of filling and well packaged",Date of experience: 17 January 2021,Rated 5 out of 5 stars,14-Feb-21,Thank you Chris- it's lovely to receive such nice feedback!,mumanddadskitchen.co.uk,4.9
1 review,Josie Gordon,GB,11-Mar-21,Brilliant!,"Always lovely pies, and cakes. Delivered nice and quickly. Great packaging that keeps it cold. Got one in the oven now, couldn’t fault this amazing company :)",Date of experience: 11 March 2021,Rated 5 out of 5 stars,27-Mar-21,Thank you so much!,mumanddadskitchen.co.uk,4.9
4 reviews,Richard Perry,GB,23-May-22,Absolutely amazing food and service,"Absolutely amazing service, people and food!!! The sausage rolls and quiche are the best I’ve ever tasted!!!",Date of experience: 23 May 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
4 reviews,JaneC,GB,17-Dec-20,Delicious!,Very friendly and super efficient service from MAD K and truly scrumptious pies!,Date of experience: 17 December 2020,Rated 5 out of 5 stars,17-Dec-20,Thank you for the lovely feedback! Much appreciated.,mumanddadskitchen.co.uk,4.9
10 reviews,Grant Miller,GB,27-Mar-21,Excellent we will be ordering again…,Excellent we will be ordering again after the kitchen is redone s few weeks,Date of experience: 27 March 2021,Rated 5 out of 5 stars,11-Apr-21,Thanks Grant- look forward to sending you goodies out again soon - and good luck with the kitchen work!,mumanddadskitchen.co.uk,4.9
2 reviews,Hana,GB,23-Jun-22,Amazing Pies & Quiches…,Amazing Pies & Quiches and even better cakes! Cherry Bakewell is amazing and brownie is a delight! All the team are so friendly and helpful!,Date of experience: 23 June 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
2 reviews,S H,GB,16-Dec-20,The best gluten free product on the…,"The best gluten free product on the market in my humble opinion. So glad to have found you. Excellent quick service, I can not fault you. Thank you SO much.",Date of experience: 16 December 2020,Rated 5 out of 5 stars,16-Dec-20,Thank you for the lovely feedback! It is much appreciated.,mumanddadskitchen.co.uk,4.9
4 reviews,JP,GB,12-Jan-24,Excellent service and amazing products…,Excellent service and amazing products - best gluten free sausage rolls ever!,Date of experience: 22 December 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
5 reviews,Mrs Rebecca Williams,GB,03-Sep-20,The best gluten free pastry I’ve ever had,"The best gluten free pastry I’ve ever had!
All the pies are full of filling and delicious!
Highly recommend!",Date of experience: 03 September 2020,Rated 5 out of 5 stars,03-Sep-20,"Thank you for the feedback.. We do love our pastry, but it is good to hear that others love it too!",mumanddadskitchen.co.uk,4.9
1 review,Marie Coombs,GB,07-Feb-21,Wow had your sausage rolls so tasty and…,Wow had your sausage rolls so tasty and filling.had the walnut and coffee cakes moorish.Need to order more cakes.,Date of experience: 07 February 2021,Rated 5 out of 5 stars,14-Feb-21,Thanks Marie!,mumanddadskitchen.co.uk,4.9
10 reviews,Charissa buckley,GB,02-Oct-20,Their pies are simply the best,Their pies are simply the best! Yummy for my tummy! I didn’t really enjoy pie before but they fully converted me but ONLY for theirs :-),Date of experience: 02 October 2020,Rated 5 out of 5 stars,02-Oct-20,Wow! Glad you love our pies so much! ?? thank you for the lovely review!,mumanddadskitchen.co.uk,4.9
4 reviews,Delia Broomfield,GB,12-Feb-23,Excellent service.The best glutenfree…,Excellent service.The best glutenfree pies ever tasted .thank you,Date of experience: 05 February 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
6 reviews,Andrew Beech,GB,04-Jun-20,Superb products and excellent service,Superb products and excellent service. Best pies I have tasted. Highly recommended family company.,Date of experience: 04 June 2020,Rated 5 out of 5 stars,23-Jun-20,Thank you so much for your lovely review.,mumanddadskitchen.co.uk,4.9
7 reviews,Lyndsey Harris,GB,12-Jun-20,Delicious pies,"Quick delivery, very well packaged, delicious pies, will definitely be buying again, thank you!!",Date of experience: 12 June 2020,Rated 5 out of 5 stars,15-Jun-20,Thank you for your review! It really means a lot to us!,mumanddadskitchen.co.uk,4.9
34 reviews,Neil,GB,20-Jan-24,Great range of gluten free pies,Great range of gluten free pies! Plenty of choice of fillings. Pies are delivered promptly and very well packaged.,Date of experience: 13 January 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
25 reviews,Mrs Jen Grundy,GB,03-Dec-21,Delicious gluten free pies and quiches…,Delicious gluten free pies and quiches ! So glad I found this website.,Date of experience: 03 December 2021,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
18 reviews,Mrs Elizabeth Phillips,GB,04-Jun-24,Great pies.,Pies are fantastic.  Delivery really quick.,Date of experience: 28 May 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
14 reviews,Dawn,GB,11-Jun-20,Amazing pies!,"Amazing pies! A good range of fillings and so, so tasty!
Shipped all the way to South Wales - and they certainly do travel well!
Go on - give them a try, you won’t regret it!",Date of experience: 11 June 2020,Rated 5 out of 5 stars,23-Jun-20,Thank you for the review! We do deliver nationwide so thank you for mentioning that!,mumanddadskitchen.co.uk,4.9
19 reviews,MRS SKERRATT,GB,09-Nov-23,Great pies,"Great pies, really tasty hubby is dairy and gluten free so they are perfect",Date of experience: 19 October 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
1 review,Sam Carlton-Smith,GB,07-Jun-20,Simply the best pies I've ever eaten,Simply the best pies I've ever eaten! Definitely recommend!!,Date of experience: 07 June 2020,Rated 5 out of 5 stars,10-Jun-20,Thank you for the review; it really helps!,mumanddadskitchen.co.uk,4.9
8 reviews,Jojo,GB,12-Jul-24,Fantastic service,Fantastic service. Kept informed throughout. Beautiful pies,Date of experience: 04 July 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
94 reviews,janet bailey,GB,05-Apr-22,They always make good gf food,They always make good gf food. However I do miss the single portion sizes.,Date of experience: 05 April 2022,Rated 3 out of 5 stars,05-Apr-22,Thank you for your review Janet. We have already introduced the small fruit pies on the internet. Other small (250g) pies will be available soon.,mumanddadskitchen.co.uk,4.9
14 reviews,Neil,GB,19-Dec-20,Lovely gluten free products,Amazing gluten free products arrived safe and  look lovely.,Date of experience: 19 December 2020,Rated 5 out of 5 stars,14-Feb-21,Thank you Neil!,mumanddadskitchen.co.uk,4.9
1 review,Leonie Banham,GB,21-Nov-20,Delicious and huge pies and quiches,Delicious and huge pies and quiches. The pastry was flaky and the pies were generously filled.,Date of experience: 21 November 2020,Rated 5 out of 5 stars,21-Nov-20,"Go big or go bigger is what we say! ?? thank you for the review, we really appreciate it.",mumanddadskitchen.co.uk,4.9
9 reviews,Mrs Mullen,GB,24-Mar-21,Excellent goods and service,Excellent goods and service. Particularly liked the quiche.  Will order again,Date of experience: 24 March 2021,Rated 5 out of 5 stars,27-Mar-21,Thank you! So glad you like  our quiches!,mumanddadskitchen.co.uk,4.9
12 reviews,Mrs Samantha Wilson,GB,21-Feb-24,Amazing products taste food great…,Amazing products taste food great service friendly staff,Date of experience: 14 February 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
16 reviews,Jx,GB,03-Apr-23,Great pies,"Beautiful quality pies, that accommodate some complex family requirements (gluten free & dairy free) but taste great
Wonderful customer service!",Date of experience: 13 March 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
1 review,Wesley frost,GB,25-Jun-21,Great taste Great price,So easy to order Great communication  Easy pick up Very easy to find And most of all  great taste at a great price,Date of experience: 25 June 2021,Rated 5 out of 5 stars,10-Oct-21,Thank you so much!,mumanddadskitchen.co.uk,4.9
6 reviews,Sara Sullivan,GB,03-Sep-20,Great customer service,"Great customer service, easy to order. Great price too!",Date of experience: 03 September 2020,Rated 5 out of 5 stars,03-Sep-20,"Wow, thank you that is so kind of you to say.  It was a pleasure serving you...",mumanddadskitchen.co.uk,4.9
4 reviews,Ruth,GB,14-Dec-23,Easy to order and fast delivery..,Easy to order and fast delivery... and everything  tastes great,Date of experience: 07 December 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
11 reviews,Mrs Catherine Warden,GB,03-Sep-20,Lovely to have the choice of delicious…,Lovely to have the choice of delicious gluten free pies.,Date of experience: 03 September 2020,Rated 5 out of 5 stars,03-Sep-20,We aim to please!thank you for your lovely feedback...,mumanddadskitchen.co.uk,4.9
14 reviews,brenda rodgers,GB,13-Dec-20,Excellent service and lovely fillings,Excellent service and lovely fillings. Many thanks,Date of experience: 13 December 2020,Rated 5 out of 5 stars,15-Dec-20,Thank you so much for the lovely feedback!,mumanddadskitchen.co.uk,4.9
4 reviews,millar,GB,11-Jun-24,Excellent!!,You would not know they were gluten free.,Date of experience: 04 June 2024,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
7 reviews,customer,GB,03-Sep-20,Will order again,Quick delivery and really good sausage rolls,Date of experience: 03 September 2020,Rated 5 out of 5 stars,04-Sep-20,Thank you for the feedback! We like to make our sausage rolls stand out from the crowd by being chunky!  More is always better ????,mumanddadskitchen.co.uk,4.9
6 reviews,Miss Horner,GB,22-Sep-22,Best pies ever ?? so flavoursome and…,Best pies ever ?? so flavoursome and delicious,Date of experience: 22 September 2022,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
11 reviews,Phil H,GB,26-Mar-23,Tasty good value pies,Tasty good value pies. You’d never know they are gluten free!,Date of experience: 19 March 2023,Rated 5 out of 5 stars,,,mumanddadskitchen.co.uk,4.9
